,DATE,TEAM_HOME,TEAM_VISITOR,POINTS_HOME,POINTS_VISITOR,WINNER
0,2022-03-01,BKN,TOR,108,109,TOR
0,2022-03-01,ATL,BOS,98,107,ATL
0,2022-03-01,LAC,HOU,113,100,LAC
0,2022-03-01,DAL,LAL,109,104,DAL
0,2022-03-01,DET,WAS,113,116,WAS
0,2022-03-01,GSW,MIN,114,129,MIN
0,2022-03-02,MIA,MIL,119,120,MIL
0,2022-03-02,OKC,DEN,119,107,OKC
0,2022-03-02,CHA,CLE,119,98,CLE
0,2022-03-02,UTA,HOU,132,127,UTA
0,2022-03-02,POR,PHX,90,120,POR
0,2022-03-02,IND,ORL,122,114,IND
0,2022-03-02,SAC,NOP,95,125,SAC
0,2022-03-02,NYK,PHI,108,123,PHI
0,2022-03-03,LAL,LAC,111,132,LAC
0,2022-03-03,CHI,ATL,124,130,ATL
0,2022-03-03,DET,TOR,108,106,DET
0,2022-03-03,GSW,DAL,113,122,DAL
0,2022-03-03,MIA,BKN,113,107,MIA
0,2022-03-03,MEM,BOS,107,120,BOS
0,2022-03-03,SAC,SAS,115,112,SAC
0,2022-03-04,CLE,PHI,119,125,PHI
0,2022-03-04,IND,DET,106,111,DET
0,2022-03-04,ORL,TOR,103,97,TOR
0,2022-03-04,MIL,CHI,118,112,MIL
0,2022-03-04,UTA,NOP,90,124,UTA
0,2022-03-04,NYK,PHX,114,115,PHX
0,2022-03-04,MIN,OKC,138,101,MIN
0,2022-03-04,HOU,DEN,101,116,DEN
0,2022-03-04,ATL,WAS,117,114,ATL
0,2022-03-05,ORL,MEM,96,124,ORL
0,2022-03-05,SAS,CHA,117,123,CHA
0,2022-03-05,GSW,LAL,116,124,LAL
0,2022-03-05,POR,MIN,121,135,MIN
0,2022-03-05,SAC,DAL,113,114,DAL
0,2022-03-05,PHI,MIA,82,99,MIA
0,2022-03-06,IND,WAS,123,133,WAS
0,2022-03-06,NYK,LAC,116,93,LAC
0,2022-03-06,TOR,CLE,96,104,TOR
0,2022-03-06,MEM,HOU,112,123,HOU
0,2022-03-06,UTA,OKC,116,103,UTA
0,2022-03-06,BKN,BOS,120,126,BOS
0,2022-03-06,NOP,DEN,130,138,DEN
0,2022-03-06,PHX,MIL,122,132,MIL
0,2022-03-07,ATL,DET,110,113,DET
0,2022-03-07,HOU,MIA,106,123,MIA
0,2022-03-07,UTA,DAL,103,111,DAL
0,2022-03-07,NYK,SAC,131,115,NYK
0,2022-03-07,POR,MIN,81,124,POR
0,2022-03-07,CHI,PHI,106,121,PHI
0,2022-03-07,LAL,SAS,110,117,SAS
0,2022-03-07,GSW,DEN,124,131,DEN
0,2022-03-08,MIL,OKC,142,115,MIL
0,2022-03-08,BKN,CHA,132,121,BKN
0,2022-03-08,PHX,ORL,102,99,ORL
0,2022-03-08,CLE,IND,127,124,CLE
0,2022-03-08,LAC,GSW,97,112,LAC
0,2022-03-08,NOP,MEM,111,132,MEM
0,2022-03-09,ORL,NOP,108,102,ORL
0,2022-03-09,LAL,HOU,130,139,HOU
0,2022-03-09,DEN,SAC,106,100,DEN
0,2022-03-09,PHX,MIA,111,90,MIA
0,2022-03-09,ATL,MIL,115,124,MIL
0,2022-03-09,POR,UTA,85,123,POR
0,2022-03-09,TOR,SAS,119,104,TOR
0,2022-03-09,OKC,MIN,102,132,MIN
0,2022-03-09,BOS,CHA,115,101,BOS
0,2022-03-09,WAS,LAC,109,115,LAC
0,2022-03-09,NYK,DAL,107,77,DAL
0,2022-03-09,CHI,DET,114,108,CHI
0,2022-03-10,BKN,PHI,129,100,BKN
0,2022-03-10,GSW,DEN,113,102,GSW
0,2022-03-11,TOR,PHX,117,112,TOR
0,2022-03-11,LAC,ATL,106,112,ATL
0,2022-03-11,MIN,ORL,110,118,ORL
0,2022-03-11,WAS,LAL,109,122,LAL
0,2022-03-11,NYK,MEM,114,118,MEM
0,2022-03-11,UTA,SAS,102,104,SAS
0,2022-03-11,CHA,NOP,142,120,CHA
0,2022-03-11,DET,BOS,103,114,BOS
0,2022-03-11,DAL,HOU,113,100,DAL
0,2022-03-11,CLE,MIA,105,117,MIA
0,2022-03-12,TOR,DEN,127,115,TOR
0,2022-03-12,IND,SAS,119,108,IND
0,2022-03-12,CLE,CHI,91,101,CLE
0,2022-03-12,WAS,POR,118,127,POR
0,2022-03-12,MIN,MIA,113,104,MIN
0,2022-03-12,SAC,UTA,125,134,UTA
0,2022-03-12,MIL,GSW,109,122,GSW
0,2022-03-13,LAC,DET,106,102,LAC
0,2022-03-13,LAL,PHX,111,140,PHX
0,2022-03-13,IND,ATL,128,131,ATL
0,2022-03-13,PHI,ORL,116,114,PHI
0,2022-03-13,HOU,NOP,105,130,NOP
0,2022-03-13,NYK,BKN,107,110,BKN
0,2022-03-13,MEM,OKC,125,118,MEM
0,2022-03-13,DAL,BOS,95,92,DAL
0,2022-03-14,POR,ATL,113,122,ATL
0,2022-03-14,TOR,LAL,114,103,TOR
0,2022-03-14,LAC,CLE,111,120,CLE
0,2022-03-14,DEN,PHI,114,110,DEN
0,2022-03-14,WAS,GSW,112,126,GSW
0,2022-03-14,MIL,UTA,117,111,MIL
0,2022-03-14,MIN,SAS,149,139,MIN
0,2022-03-14,CHA,OKC,134,116,CHA
0,2022-03-14,CHI,SAC,103,112,SAC
0,2022-03-15,PHX,NOP,131,115,PHX
0,2022-03-15,BKN,ORL,150,108,BKN
0,2022-03-15,DET,MIA,98,105,DET
0,2022-03-15,MEM,IND,135,102,MEM
0,2022-03-16,POR,NYK,98,128,POR
0,2022-03-16,LAL,MIN,104,124,MIN
0,2022-03-16,PHX,HOU,129,112,PHX
0,2022-03-16,OKC,SAS,120,122,SAS
0,2022-03-16,TOR,LAC,103,100,TOR
0,2022-03-16,DAL,BKN,113,111,DAL
0,2022-03-16,PHI,CLE,118,114,PHI
0,2022-03-16,ATL,CHA,106,116,CHA
0,2022-03-16,DEN,WAS,127,109,DEN
0,2022-03-16,BOS,GSW,110,88,GSW
0,2022-03-16,MIL,SAC,135,126,MIL
0,2022-03-16,CHI,UTA,110,125,UTA
0,2022-03-17,DET,ORL,134,120,DET
0,2022-03-18,LAL,TOR,128,123,LAL
0,2022-03-18,POR,BKN,123,128,BKN
0,2022-03-18,OKC,MIA,108,120,MIA
0,2022-03-18,WAS,NYK,97,100,WAS
0,2022-03-18,DAL,PHI,101,111,PHI
0,2022-03-18,LAC,UTA,92,121,LAC
0,2022-03-18,NOP,SAS,124,91,SAS
0,2022-03-18,IND,HOU,121,118,IND
0,2022-03-18,DEN,CLE,116,119,CLE
0,2022-03-18,BOS,SAC,126,97,SAC
0,2022-03-18,MEM,ATL,105,120,ATL
0,2022-03-18,CHI,PHX,102,129,PHX
0,2022-03-19,MIL,MIN,119,138,MIN
0,2022-03-19,DET,CLE,109,113,CLE
0,2022-03-19,LAL,WAS,119,127,WAS
0,2022-03-19,DAL,CHA,108,129,CHA
0,2022-03-20,UTA,NYK,108,93,NYK
0,2022-03-20,MEM,HOU,122,98,HOU
0,2022-03-20,BOS,DEN,124,104,BOS
0,2022-03-20,POR,IND,98,129,POR
0,2022-03-20,SAS,GSW,110,108,SAS
0,2022-03-20,PHX,SAC,127,124,PHX
0,2022-03-20,TOR,PHI,93,88,TOR
0,2022-03-20,OKC,ORL,85,90,ORL
0,2022-03-20,NOP,ATL,117,112,NOP
0,2022-03-21,BOS,OKC,132,123,BOS
0,2022-03-21,WAS,HOU,97,115,WAS
0,2022-03-21,TOR,CHI,99,113,TOR
0,2022-03-21,MIA,PHI,106,113,PHI
0,2022-03-21,NOP,CHA,103,106,CHA
0,2022-03-21,MIN,DAL,108,110,DAL
0,2022-03-21,POR,DET,119,115,POR
0,2022-03-21,LAL,CLE,131,120,LAL
0,2022-03-21,UTA,BKN,106,114,BKN
0,2022-03-22,ATL,NYK,117,111,ATL
0,2022-03-22,GSW,ORL,90,94,ORL
0,2022-03-22,CHI,MIL,98,126,CHI
0,2022-03-22,LAC,DEN,115,127,DEN
0,2022-03-23,GSW,MIA,118,104,GSW
0,2022-03-23,BKN,MEM,120,132,MEM
0,2022-03-23,UTA,BOS,97,125,UTA
0,2022-03-23,PHX,MIN,125,116,PHX
0,2022-03-23,SAC,IND,110,109,SAC
0,2022-03-23,HOU,DAL,91,110,HOU
0,2022-03-23,SAS,POR,133,96,POR
0,2022-03-23,NYK,CHA,121,106,NYK
0,2022-03-23,ATL,DET,101,122,DET
0,2022-03-23,ORL,OKC,102,118,OKC
0,2022-03-23,PHI,LAL,126,121,PHI
0,2022-03-24,IND,MEM,103,133,MEM
0,2022-03-24,CHI,NOP,109,126,NOP
0,2022-03-24,WAS,MIL,102,114,MIL
0,2022-03-24,PHX,DEN,140,130,PHX
0,2022-03-24,CLE,TOR,104,117,TOR
0,2022-03-25,DAL,MIN,95,116,DAL
0,2022-03-25,WAS,DET,100,97,DET
